collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
mariner finance llc,3,2,1,0.1%,0.2%,0.1%,4003,0,4003,0.1%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,100.0%
fifth third bank,3,1,2,0.1%,0.1%,0.2%,6738,0,6738,0.2%,0.0%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,100.0%,50.0%
old national bank,3,0,3,0.1%,0.0%,0.3%,37561,0,37561,1.1%,0.0%,1.6%,33.3%,0%,33.3%,0.0%,0%,0.0%,100.0%,0%,100.0%
galaxy international purchasing llc,3,0,3,0.1%,0.0%,0.3%,8716,0,8716,0.2%,0.0%,0.4%,0.0%,0%,0.0%,0.0%,0%,0.0%,33.3%,0%,33.3%
forum credit union,3,1,2,0.1%,0.1%,0.2%,17672,9006,8666,0.5%,0.8%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
absolute resolutions,3,2,1,0.1%,0.2%,0.1%,19359,17496,1863,0.6%,1.5%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
credit acceptance corporation,3,2,1,0.1%,0.2%,0.1%,27857,27857,0,0.8%,2.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,100.0%,0.0%
the morris plan,3,0,3,0.1%,0.0%,0.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
ceres solutions cooperative inc,3,1,2,0.1%,0.1%,0.2%,41327,0,41327,1.2%,0.0%,1.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,50.0%
professional accounts service inc,3,0,3,0.1%,0.0%,0.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
service financial company,3,2,1,0.1%,0.2%,0.1%,13551,0,13551,0.4%,0.0%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,100.0%
creditmax inc,3,2,1,0.1%,0.2%,0.1%,8786,0,8786,0.3%,0.0%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,50.0%,100.0%
gateway financial solutions,3,2,1,0.1%,0.2%,0.1%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,100.0%
uhg i llc,3,2,1,0.1%,0.2%,0.1%,2397,0,2397,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,100.0%
jh met subsidiary b liquidating trust,3,2,1,0.1%,0.2%,0.1%,3222,3222,0,0.1%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,100.0%,0.0%
oliphant financial llc,3,1,2,0.1%,0.1%,0.2%,7284,0,7284,0.2%,0.0%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,50.0%
autovest l.l.c of indiana,3,3,0,0.1%,0.3%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,66.7%,66.7%,0%
pas,3,3,0,0.1%,0.3%,0.0%,9666,9666,0,0.3%,0.8%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,33.3%,33.3%,0%
harbin llc as assignee of aaron's inc,3,3,0,0.1%,0.3%,0.0%,1030,1030,0,0.0%,0.1%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,33.3%,33.3%,0%
professional financial services,2,0,2,0.1%,0.0%,0.2%,7024,0,7024,0.2%,0.0%,0.3%,0.0%,0%,0.0%,0.0%,0%,0.0%,50.0%,0%,50.0%
