collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
JH MET SUBSIDIARY B LIQUIDATING TRUST ASSIGNEE OF JH PORTFOLIO DEBT EQUITIES LLC,15,15,0,0.3%,1.0%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,66.7%,0.0%,73.3%,73.3%,0.0%
SECOND ROUND SUB LLC ASSIGNEE OF SYNCHRONY BANK,13,0,13,0.3%,0.0%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,53.8%,0.0%,53.8%,100.0%,0.0%,100.0%
LAUREL WREATH ACQUISITIONS LLC,11,1,10,0.2%,0.1%,0.3%,6214,0,6214,1.1%,0.0%,1.1%,0.0%,0.0%,0.0%,63.6%,100.0%,60.0%,100.0%,100.0%,100.0%
CROWN ASSET MANAGEMENT LLC ASSIGNEE OF CITIBANK NA,11,0,11,0.2%,0.0%,0.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,54.5%,0.0%,54.5%,100.0%,0.0%,100.0%
SECOND ROUND LP ASSIGNEE OF SYNCHRONY BANK,10,1,9,0.2%,0.1%,0.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,30.0%,0.0%,33.3%,80.0%,0.0%,88.9%
CVI SGP-CO ACQUISITION TRUST ASSIGNEE OF STERLING JEWELERS INC,9,0,9,0.2%,0.0%,0.3%,1280,0,1280,0.2%,0.0%,0.2%,0.0%,0.0%,0.0%,77.8%,0.0%,77.8%,100.0%,0.0%,100.0%
PORTFOLIO RECOVERY ASSOCIATES,8,0,8,0.2%,0.0%,0.3%,2330,0,2330,0.4%,0.0%,0.4%,0.0%,0.0%,0.0%,75.0%,0.0%,75.0%,100.0%,0.0%,100.0%
JH CX LIQUIDATING TRUST ASSIGNEE OF JH PORTFOLIO DEBT EQUITIES LLC,8,8,0,0.2%,0.5%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,62.5%,62.5%,0.0%,75.0%,75.0%,0.0%
CACH LLC,8,4,4,0.2%,0.3%,0.1%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0%,75.0%,75.0%,100.0%,100.0%,100.0%
PCA ACQUISITIONS V LLC,8,8,0,0.2%,0.5%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,62.5%,62.5%,0.0%,87.5%,87.5%,0.0%
CROWN ASSET MANAGEMENT LLC ASSIGNEE OF COMENITY CAPITAL BANK,7,1,6,0.1%,0.1%,0.2%,989,0,989,0.2%,0.0%,0.2%,0.0%,0.0%,0.0%,28.6%,100.0%,16.7%,100.0%,100.0%,100.0%
BAILCO LLC,7,0,7,0.1%,0.0%,0.2%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,71.4%,0.0%,71.4%,100.0%,0.0%,100.0%
CVI SGP-CO ACQUISITION TRUST,6,0,6,0.1%,0.0%,0.2%,1826,0,1826,0.3%,0.0%,0.3%,0.0%,0.0%,0.0%,83.3%,0.0%,83.3%,100.0%,0.0%,100.0%
SECOND ROUND LP ASSIGNEE OF COMENITY CAPITAL BANK,6,0,6,0.1%,0.0%,0.2%,1709,0,1709,0.3%,0.0%,0.3%,0.0%,0.0%,0.0%,66.7%,0.0%,66.7%,100.0%,0.0%,100.0%
PYOD LLC,6,6,0,0.1%,0.4%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,66.7%,0.0%,100.0%,100.0%,0.0%
NEW ENGLAND INSTITUTE OF TECHNOLOGY,6,0,6,0.1%,0.0%,0.2%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,83.3%,0.0%,83.3%,100.0%,0.0%,100.0%
